name,version,source,bundle_identifier,release,vendor_old,arch,vendor
Example Windows Software,1.0,programs,,Stable,ExampleVendorOld,x86_64,ExampleVendor
Another Windows Software,2.0,programs,,Beta,AnotherVendorOld,arm64,AnotherVendor
Open Ticket Request System (OTRS) ITSM,6.0.32,programs,,,,,
Open Ticket Request System (OTRS),7.0.40,programs,,,,,
YugabyteDB,2.1.10,programs,,,,,
HYPR Workforce Access (WFA),7.7.1,programs,,,,,
MongoDB 4.4.4,4.4.4,programs,,,,,
Microsoft Exchange Server,5.5,programs,,,,,
McAfee ePolicy Orchestrator,2.5.1,programs,,,,,
Microsoft Internet Explorer,5.5,programs,,,,,
Mozilla Firefox,1.5.2,programs,,,,,
